product_name,product_category,price,inventory_level,supplier_name,supplier_contact,date,order_lead_time,demand_quantity,demand_trend,seasonal_discount,Seasonality Factors,weather_condition,product_ID
Walnut Halves,Food - Nuts,591.08,5893,Twinder,547-229-4268,5/22/2024,19,36983,-100,0.5,holiday,sunny,48199
Chocolate Chip Cookie Mix,Food - Baking,839.52,7334,Yakitri,296-933-0883,7/2/2024,30,22750,69,0.03,festival,foggy,47200
Smartphone UV Sanitizer,Health,162.82,1211,LiveZ,535-355-0072,3/20/2024,27,36763,-72,0.38,holiday,cloudy,45201
Solar String Lights,Outdoor,108.96,3879,Katz,714-371-0790,2/17/2024,27,39849,63,0.4,holiday,sunny,44202
Smart Wi-Fi Light Bulbs,Smart Home,78.67,2061,Skipfire,803-698-1564,2/18/2024,26,1453,-44,0.44,festival,foggy,57203
Laundry Detergent,Food - Household,327.16,8492,Meedoo,634-943-4780,6/1/2023,19,47426,40,0.01,holiday,cloudy,78204
Pear and Gorgonzola Salad,Food - Salads,664.23,1649,Eayo,603-237-4892,4/8/2023,23,54741,2,0.25,festival,rainy,43205
Tea Set with Infuser,Kitchen,334.67,1449,Jabbersphere,390-439-0909,6/27/2024,10,63281,-89,0.4,holiday,foggy,10206
Vanilla Bean Greek Yogurt,Food - Dairy,495.67,9352,InnoZ,296-148-9443,7/31/2022,30,17300,61,0.18,festival,windy,38207
Peach Slices (canned),Food - Canned Goods,923.2,8502,Bubbletube,717-427-3363,10/17/2022,5,33307,-3,0.18,NAN,windy,33058
Feta Cheese Crumbles,Food - Dairy,174.43,496,Kwideo,338-278-6287,3/20/2024,6,50187,-91,0.47,NAN,cloudy,38040
Over-The-Door Shoe Organizer,Home,128.96,4370,Linkbridge,383-933-7469,1/13/2023,18,98684,-19,0.17,NAN,sunny,16208
Compressed Towel Tablets,Travel,739.49,6323,Jabberstorm,106-531-6642,5/11/2022,8,48169,100,0.4,holiday,sunny,51209
Coconut Milk,Food - Canned Goods,762.29,3780,Fivespan,919-698-4476,4/23/2023,7,49723,29,0.24,holiday,sunny,33210
Incense Holder,Home,247.64,9681,Flashspan,421-119-2547,3/16/2023,20,59220,19,0.2,festival,cloudy,16211
Microfiber Cleaning Cloths,Home,516.72,7559,Aibox,898-947-7751,6/5/2024,23,38234,17,0.43,festival,cloudy,16212
Maple Chipotle Glaze,Food - Condiments,887.4,2531,Jetpulse,278-843-0038,1/19/2022,11,77190,-60,0.45,holiday,cloudy,21213
Quinoa Salad,Food - Prepared Foods,122.47,609,Realmix,273-713-2282,10/29/2023,2,22720,-12,0.23,NAN,cloudy,75214
LED Desk Lamp,Home,226.18,6855,Livetube,855-759-0778,12/7/2023,9,10582,-37,0.08,festival,foggy,16215
Lightweight Backpacking Tent,Outdoor,408.09,7488,Quaxo,333-439-7969,4/7/2022,14,66789,-60,0.01,festival,foggy,44216
Smart Plug,Smart Home,603.25,4376,Leexo,327-164-0325,4/21/2022,30,38675,46,0.21,festival,cloudy,57217
Adjustable Dog Harness,Pets,864.7,4647,Quaxo,449-286-5915,3/1/2023,6,37598,-35,0.48,festival,windy,22218
Chic Ankle Strap Heels,Clothing - Shoes,635.97,8340,Browsedrive,725-588-9425,10/19/2024,12,91480,-97,0.02,festival,sunny,79219
Garlic & Herb Goat Cheese,Food - Dairy,446.66,7456,Tazz,783-190-1979,2/6/2024,2,76731,40,0.43,NAN,windy,38220
Berry Smoothie Mix,Food - Frozen Foods,518.02,3186,DabZ,119-980-5384,9/30/2024,12,18557,18,0.13,festival,cloudy,20221
Almond Flour Biscuits,Food - Bakery,100.95,4699,Edgeify,565-944-0574,8/16/2022,24,76134,57,0.01,NAN,windy,18222
Cranberry Orange Oatmeal,Food - Breakfast,963.06,531,Rhynoodle,448-149-4417,1/24/2023,23,8720,5,0.27,festival,rainy,13223
Camera Lens Cleaning Kit,Photography,539.43,3237,Linkbridge,985-582-5033,12/28/2022,13,69454,76,0.16,NAN,rainy,67224
Honey,Food - Condiments,985.03,862,Dynava,168-547-7342,8/23/2024,22,19589,73,0.26,holiday,sunny,21225
Cauliflower Crust Pizza,Food - Freezer,310.65,3018,Vidoo,675-779-2689,12/13/2024,28,96425,81,0.06,NAN,cloudy,80226
Oven Mitts with Pocket,Kitchen,105.18,4152,Trudeo,896-208-2118,6/24/2024,18,98926,24,0.24,NAN,sunny,10227
Smart Light Bulbs,Smart Home,184.22,1050,Yadel,141-253-4484,12/27/2023,26,27332,66,0.37,holiday,cloudy,57228
LED Desk Lamp,Home,530.27,9801,Tagpad,566-794-3642,8/23/2023,20,31888,28,0.22,festival,foggy,16215
Salsa Verde,Food - Condiments,618.48,6717,Feedfire,774-231-6663,6/4/2023,22,33224,51,0.36,holiday,foggy,21229
Classic Pumps,Clothing - Footwear,601.58,2683,Rhynoodle,156-953-8761,6/26/2024,4,31034,-68,0.03,festival,cloudy,69230
Cacao Nibs,Food - Baking,541.81,6235,Topicstorm,690-798-6770,12/10/2023,16,34212,52,0.1,festival,cloudy,47231
Collapsible Camping Cup,Outdoor,604.33,3946,Feedmix,294-377-1383,3/18/2022,12,16665,2,0.41,festival,cloudy,44232
Organic Quinoa Chips,Food - Snacks,288.36,4395,Browsedrive,700-782-2955,6/21/2022,13,8392,-77,0.29,NAN,cloudy,23233
Vegan Cheese,Food - Dairy Alternatives,53.84,8265,Mydo,508-935-6872,10/30/2024,22,16192,96,0.32,holiday,sunny,81234
Lemon Zest Olive Oil,Food - Oils & Vinegars,840.02,1911,Vinder,493-657-0592,10/28/2022,20,36191,-38,0.2,festival,rainy,82235
Over-the-Door Shoe Organizer,Home,451.3,2400,Skimia,369-816-0357,8/18/2022,5,1545,73,0.21,holiday,windy,16236
Pet Safety Harness,Pets,301.31,7218,Gabtune,963-544-6770,8/19/2022,28,13886,67,0.39,festival,rainy,22237
Drone,Electronics,133.46,3120,Devshare,928-396-1308,1/29/2023,17,27446,61,0.1,festival,cloudy,17238
Coconut Cream Pie Yogurt,Food - Dairy Alternatives,330.27,5012,Tagtune,186-297-8483,12/1/2022,1,41689,72,0.33,NAN,foggy,81239
Repair Tool Set for Home Improvement,Tools,709.15,7839,Oyope,937-970-1025,5/22/2024,3,37290,-4,0.16,festival,foggy,58240
Rustic Italian Bread,Food - Bakery,47.32,7544,Kazio,507-367-5325,9/12/2022,19,63019,86,0.42,holiday,foggy,18241
Kettle Corn Popcorn,Food - Snacks,607.17,8027,Dablist,642-885-6589,2/14/2023,25,50173,45,0.1,festival,windy,23242
Fitbit Activity Tracker,Fitness,466.03,7425,Rhyloo,981-617-3981,8/10/2022,18,93659,94,0.15,NAN,rainy,46243
Vegan Mac & Cheese,Food - Frozen,739.64,7071,Youbridge,606-994-7165,1/24/2023,17,3478,11,0.17,holiday,cloudy,50244
Sunglasses Case,Accessories,728.04,7766,Buzzshare,716-683-5361,11/12/2023,1,48186,25,0.32,festival,sunny,37245
Teriyaki Stir-Fry Sauce,Food - Condiments,41.44,7801,Twitternation,141-886-0961,5/3/2022,6,62179,-15,0.33,NAN,windy,21067
Honey Nut Cheerios,Food - Cereal,546.53,2514,Edgewire,859-836-0040,3/29/2024,4,55453,-64,0.46,festival,windy,83246
Wall-Mounted Bookshelf,Home,861.97,8067,Oloo,886-486-3603,12/13/2022,16,61671,88,0.36,holiday,windy,16247
Roasted Vegetable Medley,Food - Frozen Foods,456.98,9239,Zooveo,479-659-3297,1/6/2024,2,32715,-42,0.36,holiday,windy,20248
Snap-On Tupperware Set,Kitchen,844.84,5053,Zazio,607-586-5206,1/19/2024,13,73504,-50,0.01,holiday,rainy,10249
Spicy Hummus,Food - Deli,938.77,8780,Eazzy,243-996-7813,8/11/2022,19,43174,-14,0.31,NAN,sunny,84250
Elegant Lace Dress,Clothing - Dresses,204.69,4233,Talane,228-118-8893,11/30/2023,28,20281,-26,0.23,festival,windy,24251
Honey Wheat Pretzels,Food - Snacks,360.57,4072,Yadel,965-194-5696,6/9/2023,7,19146,73,0.4,festival,windy,23252
Plant Pot Drip Trays,Garden,858.93,6557,Trupe,331-403-2265,12/12/2022,11,49753,97,0.08,festival,sunny,34253
Wall-Mounted Organizer,Home,944.2,5501,Oyoloo,630-222-2634,5/7/2022,1,79224,7,0.28,festival,cloudy,16090
Fruit and Nut Medley,Food - Snacks,8.83,2425,Dabfeed,138-695-0375,3/21/2024,14,8597,-40,0.07,NAN,windy,23254
Cabbage,Food - Produce,526.52,2703,Wikido,506-398-1686,2/4/2023,11,94487,-83,0.23,NAN,windy,28255
Cinnamon Rolls,Food - Bakery,653.91,4623,Babbleset,824-566-4582,11/6/2024,17,59217,32,0.47,NAN,sunny,18256
Electric Heating Pad,Health,17.28,438,Flipopia,128-817-5242,8/7/2022,17,59554,-89,0.27,holiday,foggy,45257
Yoga Blocks,Fitness,49.12,1302,Topicshots,844-341-0958,4/28/2022,30,74205,77,0.41,festival,foggy,46161
Laptop Sleeve,Accessories,149.53,9353,Eidel,540-543-8590,9/15/2024,17,49556,-28,0.16,holiday,cloudy,37258
Fitness Resistance Bands Kit,Fitness,149.66,1743,Vinte,467-225-1888,1/26/2022,25,98644,43,0.4,holiday,windy,46259
Pet Water Fountain,Pets,9.72,2125,Twitterworks,505-732-2644,9/2/2022,20,81644,96,0.41,festival,windy,22260
Pet Grooming Glove,Pets,794.86,7721,Wikivu,502-103-7813,5/7/2022,6,63369,-66,0.33,holiday,windy,22261
Quinoa and Kale Salad Kit,Food - Salads,413.42,7629,Kanoodle,972-323-2528,1/1/2023,10,81478,89,0.24,holiday,windy,43262
Vintage Graphic Tee,Clothing - Tops,944.09,3511,Mudo,246-989-0106,5/8/2023,19,95095,-17,0.08,festival,sunny,35263
Kid's Fruit Snacks,Food - Snacks,557.14,8406,Skiptube,389-829-8934,9/8/2022,18,28990,-40,0.49,festival,foggy,23264
Savory Oats,Food - Breakfast,484.43,4872,Digitube,789-934-2251,7/14/2024,19,37559,-23,0.49,holiday,rainy,13265
Beef Taco Skillet,Food - Meal Kits,524.15,3576,Realpoint,187-590-1704,6/28/2024,2,11295,-60,0.17,festival,sunny,85266
Board Game Storage,Toys,36.66,3437,Kwinu,314-972-2417,9/21/2023,12,29218,-35,0.1,holiday,sunny,26267
Peanut Butter Granola,Food - Breakfast,239.32,1043,Thoughtmix,107-194-5847,6/2/2024,8,63963,79,0.33,NAN,cloudy,13268
Gardening Gloves,Garden,845.27,5191,Wordware,635-644-3448,1/14/2022,21,70678,3,0.26,holiday,cloudy,34269
Butternut Squash Soup,Food - Soups,177.69,168,Bubblebox,758-760-2547,7/27/2024,13,54466,30,0.42,festival,rainy,39270
Classic Pumps,Clothing - Footwear,805.88,9131,Kamba,858-101-1221,5/10/2024,23,43527,-77,0.3,holiday,cloudy,69230
Almond Flour Brownies,Food - Baking,916.15,4129,Meejo,561-568-3937,10/22/2024,8,50546,-15,0.32,NAN,foggy,47271
Coconut Granola,Food - Snacks,482.97,3109,Realbridge,352-434-1191,6/27/2022,15,49973,-90,0.15,NAN,cloudy,23272
Whole Wheat Pita Bread,Food - Bread,917.29,5080,Realcube,394-272-3020,7/21/2024,23,91486,77,0.35,festival,rainy,86273
Baking Powder,Food - Baking Goods,0.83,6653,Yombu,166-167-7124,7/25/2022,4,68515,-65,0.28,NAN,windy,70274
Essential Oil Diffuser,Health,520.41,120,Pixoboo,944-770-1787,9/4/2022,4,58409,89,0.42,NAN,sunny,45275
Personal Security Alarm Keychain,Safety,191.22,2115,Thoughtblab,424-447-0262,11/13/2022,29,96191,-33,0.35,holiday,sunny,87276
Roasted Red Pepper Sauce,Food - Sauces,544.05,340,Buzzshare,566-640-1493,9/26/2022,22,26846,99,0.44,NAN,windy,25277
Cranberry Almond Biscotti,Food - Bakery,871.96,8673,Skyndu,513-155-3758,9/12/2023,8,57604,54,0.08,NAN,cloudy,18278
Stick Vacuums Cleaner,Home Appliances,493.46,328,Quatz,770-563-6950,3/4/2023,21,22617,82,0.3,festival,rainy,29279
LED Christmas Tree Lights,Home,995.59,3006,Twitterbeat,278-829-1195,5/4/2024,9,74007,-51,0.45,festival,foggy,16280
Wireless Induction Charger,Electronics,879.32,1341,Rooxo,397-405-4267,5/4/2023,18,9917,-60,0.32,NAN,foggy,17281
Collapsible Folding Chair,Outdoor,611.48,817,Feedfish,864-763-2123,9/12/2022,15,41528,-12,0.16,NAN,foggy,44282
Inflatable Paddle Board,Outdoor,751.69,1547,Zoovu,663-846-3408,3/11/2022,12,57378,54,0.46,festival,foggy,44117
Apple Juice,Food - Beverages,989.1,957,Zoovu,728-389-9926,11/22/2024,16,66246,-57,0.32,holiday,rainy,65143
Pumpkin Pie Spice,Food - Baking,83.13,2682,Twinder,965-177-7152,1/15/2022,28,26734,-95,0.39,festival,foggy,47283
Chiffon Blouse,Clothing - Shirts,918.58,3156,Jaxbean,603-437-7786,10/22/2022,25,86787,-56,0.35,NAN,cloudy,76284
Apricot Jam,Food - Condiments,3.55,284,Yakitri,752-704-7959,6/30/2023,22,73869,-6,0.0,holiday,foggy,21285
Maple Bacon Popcorn,Food - Snacks,977.92,1481,Yakijo,979-381-1652,9/1/2024,6,42936,-30,0.44,NAN,windy,23286
Canned Coconut Milk,Food - Canned Goods,759.19,541,Oyoloo,159-322-4137,1/27/2022,11,75439,43,0.49,festival,foggy,33287
Oven-Baked Chicken Tenders,Food - Meat,346.41,7226,Blogspan,726-466-5702,9/14/2023,23,99813,-60,0.38,NAN,windy,31030
Bamboo Bathtub Caddy,Home,250.23,763,Yodo,933-305-3514,2/23/2022,4,47247,-58,0.48,NAN,windy,16288
Smart Air Purifier,Home,844.53,4782,Oyoyo,789-472-0051,4/5/2022,22,71334,-17,0.36,NAN,foggy,16289
Fitness Resistance Bands,Fitness,990.99,4791,Kaymbo,322-813-7385,4/30/2023,2,90836,25,0.19,festival,foggy,46290
Smartphone Projector,Electronics,33.9,9053,Photolist,551-831-9882,6/25/2022,17,79091,13,0.36,holiday,rainy,17291
Energy Protein Bars,Food - Snacks,836.49,6078,Rhyloo,559-758-5776,3/9/2022,1,9909,35,0.14,holiday,sunny,23292
Cauliflower Gnocchi,Food - Frozen Foods,144.21,9154,Yotz,907-638-5047,10/23/2024,3,75050,-65,0.33,festival,rainy,20158
Peanut Butter,Food - Condiments,387.15,1402,Camido,237-517-6343,4/9/2022,19,57307,26,0.3,festival,cloudy,21293
Digital Thermostat,Home,302.46,2693,Chatterbridge,315-561-5832,1/22/2022,23,78137,33,0.43,NAN,rainy,16294
Non-Stick Grill Pan,Kitchen,454.15,5268,Blogtag,579-633-8272,8/24/2023,1,78979,-62,0.46,festival,rainy,10295
Radish Chips,Food - Snacks,788.16,1214,Lajo,217-643-2584,5/25/2024,3,72049,83,0.01,festival,cloudy,23296
Portable Phone Charger,Accessories,53.38,8201,Devbug,176-134-2299,3/23/2022,28,74090,-78,0.46,holiday,windy,37297
Kettle BBQ Grill,Outdoor,537.98,5429,Livepath,979-606-4220,8/24/2022,9,54353,-88,0.21,holiday,sunny,44298
Cranberry Almond Biscotti,Food - Bakery,680.59,2540,Youtags,496-245-6325,8/23/2023,12,7506,-59,0.14,holiday,rainy,18278
Luxe Velvet Blazer,Clothing - Outerwear,241.64,6711,Jazzy,720-708-3947,9/12/2024,5,74594,-41,0.37,NAN,rainy,64299
Smart WiFi Plug,Smart Home,955.21,4332,Realbridge,281-463-7957,9/27/2024,9,23179,-23,0.09,holiday,cloudy,57300
Protein Powder,Fitness,318.17,5495,Bubblemix,357-517-8520,5/31/2022,22,4412,-9,0.07,NAN,cloudy,46301
Shredded Cheese,Food - Dairy,82.76,8957,Zoomlounge,545-926-9916,4/29/2022,23,93619,-29,0.46,festival,rainy,38302
Chickpea Salad,Food - Prepared Foods,353.13,1468,Zoonder,686-450-6022,2/8/2024,17,88625,-63,0.29,holiday,rainy,75303
Artisan Cornbread Mix,Food - Baking,978.73,3368,Yakidoo,848-753-5649,2/7/2024,14,86377,55,0.47,NAN,cloudy,47149
Thai Coconut Curry Sauce,Food - Condiments,695.85,9379,Dabvine,992-579-3832,9/9/2022,19,54737,85,0.19,holiday,sunny,21304
Noise-Canceling Earbuds,Audio,713.21,6367,Gigazoom,852-787-2210,11/3/2023,13,56436,-26,0.41,NAN,sunny,49305
Brussels Sprouts,Food - Produce,958.66,9143,Edgeify,313-993-0081,1/26/2022,19,1951,-94,0.11,festival,rainy,28306
Video Camera,Electronics,622.7,8603,Browsebug,767-203-5322,5/12/2024,27,83087,36,0.22,NAN,sunny,17132
Multi-Function Smartphone Holder,Electronics,703.03,4824,Ntags,440-113-3683,2/20/2022,17,95458,-57,0.38,festival,cloudy,17307
Personal Blender with Travel Lid,Kitchen,204.01,745,Wordpedia,515-363-6636,4/5/2024,13,74220,-14,0.39,holiday,sunny,10308
Wrist Support Brace,Health,144.04,2749,Edgewire,268-126-2676,3/17/2023,22,66760,62,0.35,festival,cloudy,45309
Honey Garlic Chicken,Food - Meat,14.11,9445,Zoombox,324-802-4748,7/8/2022,9,54589,54,0.43,NAN,foggy,31310
Wireless Music Receiver,Audio,635.62,5902,Wikizz,581-276-9687,1/18/2024,1,40767,63,0.35,NAN,cloudy,49311
Fitness Resistance Bands Kit,Fitness,652.3,5928,Realcube,233-403-9257,5/31/2023,16,76863,-88,0.12,festival,cloudy,46259
Coffee Subscription Service,Food,106.61,3499,Realcube,909-168-4911,3/12/2024,5,74456,62,0.43,NAN,rainy,88312
Skincare Fridge,Beauty,75.7,5417,Rhynoodle,186-232-8255,2/17/2023,5,93944,-19,0.05,festival,rainy,71313
Yoga Strap,Fitness,646.58,8208,Twinder,773-331-6225,2/6/2022,20,81473,36,0.27,festival,foggy,46314
Vanilla Almond Granola,Food - Breakfast,280.48,396,Vidoo,382-876-7257,6/10/2022,10,6012,74,0.04,holiday,cloudy,13315
Garden Hoses with Expandable Features,Garden,997.76,1807,Meetz,454-580-6426,9/12/2022,12,69088,92,0.35,NAN,windy,34316
Bamboo Charcoal Air Purifier Bags,Home,111.4,158,Yodel,274-932-4417,2/7/2022,7,23170,-43,0.19,NAN,foggy,16317
Peanut Butter Banana Smoothie,Food - Beverages,404.45,8550,Vitz,655-677-0515,1/14/2024,23,1791,32,0.43,festival,windy,65318
Mini Indoor Hydroponic Garden,Garden,518.43,2688,Photobug,971-533-4822,4/19/2023,6,49033,-42,0.22,festival,windy,34319
Sunglasses,Accessories,979.02,5691,Fadeo,260-561-3312,8/7/2023,3,56383,-23,0.06,festival,windy,37091
Herb Seasoned Croutons,Food - Salad Toppings,20.2,5202,Buzzshare,924-655-9551,12/14/2023,22,55906,70,0.45,festival,windy,89320
Collapsible Camping Cup,Outdoor,645.54,9790,Kazio,969-429-6468,6/27/2022,2,78079,-33,0.39,holiday,cloudy,44232
Foot Spa Bath Massager,Health,3.45,9196,Bluejam,340-735-4964,8/27/2023,17,71787,50,0.21,festival,foggy,45321
Fresh Cilantro,Food - Produce,773.75,7370,Wikivu,510-457-5305,8/6/2024,18,85238,-93,0.34,festival,sunny,28116
Portable Massage Table,Health,936.61,955,Gabtune,162-496-2765,10/16/2024,15,95026,81,0.36,holiday,sunny,45322
Coconut Yogurt,Food - Dairy Alternatives,317.04,2619,Trupe,814-390-0646,10/15/2024,19,54456,0,0.26,festival,sunny,81323
Electric Ice Cream Maker,Kitchen,20.12,6083,Trudoo,416-329-0890,11/28/2022,20,80250,57,0.02,holiday,foggy,10324
Spicy Thai Noodles,Food - Frozen Meals,236.5,6659,Oyoba,769-858-5821,6/19/2024,26,78217,58,0.23,holiday,rainy,73325
Tortilla Chips,Food - Snacks,759.88,2757,Brainlounge,849-294-5736,5/6/2022,25,96234,28,0.5,NAN,sunny,23326
Butternut Squash Ravioli,Food - Frozen Foods,276.11,772,Ailane,507-503-5794,5/16/2022,5,50936,24,0.29,NAN,rainy,20327
Children's Musical Instrument Set,Toys,296.71,362,Mybuzz,867-409-9898,11/1/2024,5,55824,30,0.17,NAN,sunny,26328
Electric Pressure Washer,Home Improvement,120.78,8213,Cogidoo,454-565-1568,3/14/2024,8,76548,36,0.5,holiday,cloudy,90329
Pineapple Coconut Yogurt,Food - Dairy,249.82,429,Yata,200-461-0026,4/2/2022,22,8831,-15,0.05,holiday,foggy,38330
Carrot and Celery Sticks,Food - Produce,981.22,9477,Ntag,381-410-6869,4/7/2022,12,64044,15,0.01,NAN,rainy,28331
Fruit Medley Juice,Food - Beverages,453.1,5980,Kare,431-174-7262,10/26/2023,6,94218,70,0.45,festival,sunny,65332
Chocolate Mint Cookies,Food - Baking,706.53,4856,Rhybox,977-825-6050,8/25/2023,30,31797,10,0.37,festival,foggy,47333
Customizable Photo Calendar,Books,186.12,5489,Teklist,917-370-8400,12/9/2022,1,43842,-29,0.35,holiday,rainy,91334
Recipe Book Stand,Kitchen,495.85,5873,Skyvu,626-692-9021,3/7/2023,5,92818,23,0.26,holiday,rainy,10335
Poppy Seed Dressing,Food - Condiments,300.03,2376,Tagfeed,608-404-3766,3/8/2024,9,69672,-45,0.38,NAN,foggy,21336
Casual Sneakers,Clothing - Footwear,962.44,4213,Blogtags,416-733-7087,5/19/2023,29,95815,-47,0.12,NAN,sunny,69337
Dark Chocolate Almond Butter Cups,Food - Snacks,764.58,9228,Flashdog,232-537-1444,11/19/2023,13,61037,34,0.04,NAN,windy,23338
Dark Chocolate Almond Butter Cups,Food - Snacks,823.31,3380,Topicshots,629-502-9231,10/17/2022,21,50910,-55,0.28,NAN,windy,23338
Mini Electric Kettle,Kitchen,339.87,5031,Yadel,585-189-7149,12/18/2024,24,40877,-62,0.28,NAN,cloudy,10339
Oven Thermometer,Kitchen,803.03,4865,Edgepulse,853-934-2134,5/8/2022,23,93389,-24,0.44,festival,foggy,10340
Classic Leather Wallet,Clothing - Accessories,85.59,4025,Twitternation,497-919-3832,9/21/2022,17,68822,52,0.15,NAN,cloudy,63341
Garden Hose Reel,Garden,618.41,2905,Devify,602-888-4806,8/2/2023,2,47577,71,0.33,holiday,rainy,34342
Kids' Outdoor Explorer Kit,Toys,568.86,5397,Mynte,381-442-4574,2/15/2022,1,40727,-57,0.35,NAN,windy,26029
Portable Solar Phone Charger,Electronics,47.22,1368,Oloo,344-600-7113,2/13/2023,4,16732,-36,0.14,NAN,rainy,17343
Grilled Veggie Burgers,Food - Meat Alternatives,642.41,7192,Mydeo,184-840-8677,5/26/2022,23,9296,63,0.5,NAN,windy,92344
High-Speed HDMI Cable,Electronics,966.87,9874,Fivechat,954-714-6557,4/20/2022,28,84983,-14,0.06,festival,windy,17066
Digital Wireless Camera,Home Security,615.88,8802,Trilia,999-599-3262,12/9/2022,12,94798,-25,0.1,festival,foggy,93345
Classic Black Trousers,Clothing - Pants,393.32,344,Linktype,496-938-7676,10/5/2022,15,94551,32,0.24,holiday,windy,94346
Almond Flour Tortillas,Food - Baking & Cooking,255.52,9762,Skalith,243-520-2135,8/7/2024,16,32825,-90,0.43,festival,cloudy,95347
Chocolate Hazelnut Spread,Food - Spreads,841.7,8638,Yacero,288-761-8345,4/5/2023,26,99593,51,0.46,festival,windy,96348
Vegetable Pizza Rolls,Food - Frozen Foods,414.77,6030,Photospace,510-411-6581,5/26/2023,9,41914,69,0.46,festival,sunny,20349
Insulated Coffee Mug,Kitchen,270.13,8039,Abatz,223-387-1484,12/4/2022,5,46189,12,0.17,NAN,sunny,10350
Miso Soup Starter,Food - Soups,372.89,7989,Gevee,235-963-9561,12/21/2022,27,27034,-97,0.45,festival,cloudy,39085
Children's Backpack,Accessories,117.81,3651,Blogtags,584-653-9083,12/21/2024,2,94535,58,0.29,holiday,sunny,37351
Herb Seasoned Rice,Food - Sides,735.39,2408,Rhyloo,551-275-4893,9/8/2022,14,27065,15,0.32,festival,cloudy,97352
Customizable Wall Calendar,Office,881.99,8961,Thoughtstorm,933-300-7078,8/25/2022,24,80662,25,0.11,holiday,rainy,61353
Portable Massage Gun,Health,181.48,7252,Midel,765-681-2403,3/2/2024,12,71713,-90,0.14,holiday,cloudy,45354
Pet Safety Harness,Pets,362.39,4021,Brainverse,649-592-2073,5/15/2022,23,27543,83,0.34,NAN,sunny,22237
Organic Tomato Soup,Food - Canned Goods,349.85,2680,Zoomdog,448-191-4178,12/9/2024,29,44905,-2,0.15,NAN,cloudy,33355
Cranberry Almond Granola,Food - Breakfast,129.7,7394,Bubblemix,917-195-5653,11/23/2022,10,45615,-15,0.21,festival,sunny,13356
Rainbow Veggie Chips,Food - Snacks,986.71,4714,Oyondu,919-310-3583,11/10/2023,22,27868,25,0.17,festival,sunny,23357
Recipe Book Stand,Kitchen,77.55,6610,Gigaclub,553-305-3540,7/17/2023,6,31574,81,0.13,festival,rainy,10335
Whole Chicken,Food - Meat,657.73,6349,Riffwire,569-225-5764,6/22/2023,28,34561,88,0.34,holiday,windy,31358
Luxe Velvet Blazer,Clothing - Outerwear,408.4,3815,Feedspan,882-460-8201,3/12/2023,6,29303,53,0.16,festival,cloudy,64299
Dark Chocolate Covered Pretzels,Food - Snacks,226.7,1980,Realbridge,422-398-3199,3/26/2024,16,1045,-75,0.27,festival,windy,23359
Marinara Parmesan Baked Ziti,Food - Frozen Meals,882.19,9457,Wordify,207-115-7455,2/4/2023,15,59405,-16,0.16,NAN,rainy,73167
Portable Camping Shower,Outdoor,449.07,7826,Kamba,967-844-0468,8/15/2022,20,52783,-100,0.28,holiday,cloudy,44360
Olive Oil,Food - Condiments,828.64,7424,Tanoodle,152-857-3240,11/26/2023,27,38175,23,0.17,holiday,windy,21361
Kids' Activity Book,Books,474.06,7033,Browsedrive,750-983-1921,5/11/2022,17,4537,100,0.5,holiday,sunny,91362
Rechargeable Electric Screwdriver,Tools,719.8,5937,Oyoloo,915-443-0532,2/25/2022,2,26097,-17,0.18,festival,foggy,58363
Mediterranean Chickpea Salad,Food - Salads,303.94,2240,Babbleopia,208-694-1278,8/6/2024,26,11182,-96,0.29,festival,rainy,43364
Bamboo Cutting Board Set,Kitchen,281.02,3356,Meemm,589-297-9172,11/2/2023,21,36415,-48,0.41,holiday,foggy,10365
Mini Fondue Set,Kitchen,752.94,6837,Realcube,940-778-0486,10/2/2023,25,86642,71,0.15,holiday,rainy,10366
Wireless Gaming Mouse,Gaming,307.79,550,Flashspan,527-585-3614,8/6/2024,14,20260,-27,0.22,holiday,windy,19367
Maple Chipotle Glaze,Food - Condiments,247.14,7711,Thoughtsphere,302-497-3951,7/12/2023,5,64994,32,0.07,holiday,windy,21213
Granola Clusters,Food - Cereal,106.72,8426,Mydeo,350-581-6424,5/15/2024,2,53265,-11,0.3,holiday,cloudy,83368
Creamy Garlic Dressing,Food - Condiments,31.87,6273,Agimba,754-384-3604,7/17/2024,14,45627,17,0.29,NAN,rainy,21369
Chipotle Black Bean Burger,Food - Meats,715.84,3722,Skivee,306-802-4424,4/6/2023,27,54003,-88,0.12,festival,sunny,98370
Pumpkin Spice Latte Mix,Food - Beverages,719.95,711,Viva,710-607-0434,4/5/2022,28,34366,-47,0.29,NAN,cloudy,65371
Balsamic Vinaigrette,Food - Dressings,872.73,4135,Yodo,756-829-6105,4/1/2023,21,82853,-49,0.46,holiday,cloudy,99372
Collapsible Camping Cup,Outdoor,120.1,2663,Trunyx,681-971-5149,8/3/2022,20,86056,71,0.46,festival,foggy,44232
Chocolate Hazelnut Granola,Food - Cereal,799.24,8836,Kare,755-600-7568,11/24/2024,29,16124,-11,0.15,NAN,windy,83373
Chickpea Salad,Food - Prepared Foods,632.24,7635,Wikizz,685-344-2904,11/30/2024,25,66065,41,0.1,festival,windy,75303
Mango Chunks,Food - Frozen Fruits,370.87,5939,Blogpad,324-258-9586,7/5/2023,28,93679,-10,0.3,NAN,rainy,100374
Kids' Building Blocks,Toys,980.61,6582,Chatterbridge,480-667-2808,4/15/2022,30,84754,0,0.27,holiday,rainy,26026
